instance	k	algorithm	evaluations	value	time	steps
G124.01	2	BF	14206	9.0	0.4111969470977783	34
G124.01	2	BF	14932	7.0	0.46083784103393555	30
G124.01	2	BF	10875	10.0	0.3172123432159424	31
G124.01	2	BF	10414	11.0	0.3097496032714844	28
G124.01	2	BF	9949	11.0	0.29114794731140137	29
G124.01	2	BF	13738	7.0	0.39285922050476074	35
G124.01	2	BF	9801	9.0	0.3053450584411621	29
G124.01	2	BF	12734	7.0	0.37792515754699707	32
G124.01	2	BF	10490	11.0	0.30370545387268066	28
G124.01	2	BF	12965	9.0	0.3803441524505615	34
G124.01	2	G	57675	6.0	1.720170497894287	13
G124.01	2	G	57675	7.0	1.799635410308838	13
G124.01	2	G	76900	6.0	2.2463057041168213	18
G124.01	2	G	57675	8.0	1.672546148300171	13
G124.01	2	G	49985	7.0	1.471914291381836	11
G124.01	2	G	65365	6.0	1.8981666564941406	15
G124.01	2	G	53830	7.0	1.5683116912841797	12
G124.01	2	G	57675	5.0	1.6988821029663086	13
G124.01	2	G	61520	6.0	1.7960205078125	14
G124.01	2	G	65365	7.0	1.880591630935669	15
G124.01	2	EBF	9638	7.0	0.2957310676574707	32
G124.01	2	EBF	10627	5.0	0.3310060501098633	29
G124.01	2	EBF	9741	8.0	0.29268574714660645	31
G124.01	2	EBF	10565	8.0	0.3224673271179199	29
G124.01	2	EBF	9709	9.0	0.2916131019592285	27
G124.01	2	EBF	9738	8.0	0.28947997093200684	28
G124.01	2	EBF	9266	7.0	0.26511716842651367	29
G124.01	2	EBF	10341	9.0	0.3238561153411865	36
G124.01	2	EBF	9306	5.0	0.27375030517578125	29
G124.01	2	EBF	9524	7.0	0.2894248962402344	28
G124.01	2	EG	69210	4.0	2.0609261989593506	16
G124.01	2	EG	73055	8.0	2.2010507583618164	17
G124.01	2	EG	65365	2.0	1.9428513050079346	15
G124.01	2	EG	57675	7.0	1.724137306213379	13
G124.01	2	EG	61520	7.0	1.854254961013794	14
G124.01	2	EG	61520	8.0	1.826134204864502	14
G124.01	2	EG	49985	8.0	1.49338698387146	11
G124.01	2	EG	65365	5.0	1.9753620624542236	15
G124.01	2	EG	61520	5.0	1.8342995643615723	14
G124.01	2	EG	65365	5.0	1.9613335132598877	15
G124.01	2	ES	9585	9.0	0.2784860134124756	28
G124.01	2	ES	47444	5.0	1.5027267932891846	33
G124.01	2	ES	9441	8.0	0.2711360454559326	25
G124.01	2	ES	21773	13.0	0.6868612766265869	29
G124.01	2	ES	22148	5.0	0.6810159683227539	32
G124.01	2	ES	9308	6.0	0.2778141498565674	25
G124.01	2	ES	34417	9.0	1.069840431213379	29
G124.01	2	ES	22926	8.0	0.7460620403289795	29
G124.01	2	ES	9858	11.0	0.28989148139953613	28
G124.01	2	ES	9322	8.0	0.2766306400299072	24
G124.01	2	EPNES	8770	9.0	0.33301877975463867	26
G124.01	2	EPNES	9717	5.0	0.3595917224884033	30
G124.01	2	EPNES	9936	8.0	0.36894702911376953	30
G124.01	2	EPNES	9519	10.0	0.34530162811279297	29
G124.01	2	EPNES	9147	7.0	0.3276846408843994	23
G124.01	2	EPNES	9899	8.0	0.3616328239440918	26
G124.01	2	EPNES	9774	7.0	0.36295032501220703	27
G124.01	2	EPNES	10506	5.0	0.3630657196044922	27
G124.01	2	EPNES	11561	8.0	0.395336389541626	31
G124.01	2	EPNES	9167	8.0	0.3364906311035156	24
G124.01	3	BF	23388	12.0	0.6897099018096924	40
G124.01	3	BF	14788	12.0	0.4421970844268799	43
G124.01	3	BF	20779	14.0	0.6110615730285645	42
G124.01	3	BF	15483	11.0	0.4582376480102539	38
G124.01	3	BF	21426	7.0	0.6440029144287109	52
G124.01	3	BF	23636	10.0	0.6866517066955566	48
G124.01	3	BF	14182	12.0	0.4110426902770996	39
G124.01	3	BF	14980	13.0	0.45264387130737305	41
G124.01	3	BF	14499	11.0	0.43021273612976074	39
G124.01	3	BF	15013	11.0	0.4466714859008789	46
G124.01	3	G	105860	6.0	3.1176774501800537	18
G124.01	3	G	121739	6.0	3.596618413925171	21
G124.01	3	G	89981	12.0	2.674720525741577	15
G124.01	3	G	137618	8.0	4.102513313293457	24
G124.01	3	G	111153	8.0	3.310419797897339	19
G124.01	3	G	116446	13.0	3.454312324523926	20
G124.01	3	G	100567	11.0	2.9735801219940186	17
G124.01	3	G	116446	9.0	3.416571617126465	20
G124.01	3	G	111153	11.0	3.2996742725372314	19
G124.01	3	G	127032	9.0	3.7622101306915283	22
G124.01	3	EBF	13950	12.0	0.4160745143890381	41
G124.01	3	EBF	21654	6.0	0.6584434509277344	45
G124.01	3	EBF	19846	15.0	0.5972976684570312	42
G124.01	3	EBF	14629	7.0	0.4468874931335449	38
G124.01	3	EBF	17133	12.0	0.5141634941101074	41
G124.01	3	EBF	14911	8.0	0.45600223541259766	48
G124.01	3	EBF	13604	13.0	0.40454792976379395	32
G124.01	3	EBF	15730	13.0	0.5162129402160645	39
G124.01	3	EBF	16067	9.0	0.47295212745666504	44
G124.01	3	EBF	15579	12.0	0.4791417121887207	42
G124.01	3	EG	111153	11.0	3.3896682262420654	19
G124.01	3	EG	127032	10.0	3.8479506969451904	22
G124.01	3	EG	111153	10.0	3.366338014602661	19
G124.01	3	EG	121739	10.0	3.706453800201416	21
G124.01	3	EG	116446	11.0	3.533889055252075	20
G124.01	3	EG	121739	9.0	3.6744208335876465	21
G124.01	3	EG	121739	9.0	3.7023541927337646	21
G124.01	3	EG	95274	11.0	2.8930745124816895	16
G124.01	3	EG	100567	15.0	3.0443882942199707	17
G124.01	3	EG	121739	10.0	3.689850330352783	21
G124.01	3	ES	16436	10.0	0.48555660247802734	32
G124.01	3	ES	27702	10.0	0.8528132438659668	42
G124.01	3	ES	16476	9.0	0.4873931407928467	38
G124.01	3	ES	28181	8.0	0.8661112785339355	43
G124.01	3	ES	27402	13.0	0.8497672080993652	38
