instances,BF,G,EBF,EG,ES,EPNS
G62.01,2.0,2.0,2.0,2.5,2.5,2.0
G62.02,4.0,6.0,6.0,6.0,6.0,5.0
G62.04,23.0,23.0,26.0,24.0,24.5,24.0
G62.08,62.5,61.5,63.0,65.0,64.0,62.0
G62.16,137.0,139.0,135.0,138.0,137.0,134.0
G62.32,302.0,301.5,302.5,301.0,305.5,303.5
G62.64,740.0,742.5,743.5,743.5,742.5,744.0
G124.01,11.5,9.0,12.0,10.0,10.0,11.5
G124.02,36.0,35.5,36.5,34.5,36.0,33.5
G124.04,111.0,113.0,113.0,116.0,112.0,112.0
G124.08,257.5,267.5,257.5,268.0,257.5,254.0
G124.16,656.0,658.0,651.5,665.0,649.5,654.5
G124.32,1374.0,1398.5,1385.5,1398.5,1380.5,1386.0
G124.64,2980.5,3004.5,2989.0,3001.5,2979.0,2989.0
G250.01,83.5,108.5,86.0,108.0,85.5,85.0
G250.02,206.0,255.5,208.0,255.5,210.0,205.0
G250.04,548.5,627.5,540.5,634.0,550.5,549.5
G250.08,1189.5,1316.0,1200.0,1316.0,1210.0,1206.5
G500.01,417.5,614.0,413.0,609.0,419.5,410.0
