instances,algorithm,fitness,evaluations
G250.01,BF,83.5,85581
G250.01,G,108.5,625002
G250.01,EBF,86.0,73002
G250.01,EG,108.0,625002
G250.01,ES,85.5,66200
G250.01,EPNES,85.0,87070
G250.01-1,BF,75.5,93266
G250.01-1,G,106.0,625002
G250.01-1,EBF,80.0,171438
G250.01-1,EG,105.0,625002
G250.01-1,ES,82.0,95756
G250.01-1,EPNES,79.5,84270
G250.01-2,BF,87.5,89387
G250.01-2,G,116.5,625002
G250.01-2,EBF,91.0,80572
G250.01-2,EG,113.0,625002
G250.01-2,ES,85.5,157349
G250.01-2,EPNES,87.5,87198
G250.01-3,BF,75.0,59056
G250.01-3,G,95.0,625002
G250.01-3,EBF,74.0,114517
G250.01-3,EG,95.5,625002
G250.01-3,ES,74.0,86782
G250.01-3,EPNES,75.0,61437
G250.02,BF,206.0,132989
G250.02,G,255.5,625002
G250.02,EBF,208.0,177050
G250.02,EG,255.5,625002
G250.02,ES,210.0,109541
G250.02,EPNES,205.0,249024
G250.02-1,BF,203.5,152775
G250.02-1,G,252.0,625002
G250.02-1,EBF,201.0,135812
G250.02-1,EG,253.0,625002
G250.02-1,ES,197.0,209708
G250.02-1,EPNES,205.5,166508
G250.02-2,BF,205.5,131662
G250.02-2,G,251.0,625002
G250.02-2,EBF,203.0,77362
G250.02-2,EG,249.5,625002
G250.02-2,ES,202.5,78463
G250.02-2,EPNES,206.0,60374
G250.02-3,BF,199.5,139583
G250.02-3,G,245.5,625002
G250.02-3,EBF,200.0,91010
G250.02-3,EG,250.5,625002
G250.02-3,ES,201.5,131416
G250.02-3,EPNES,198.5,134384
G250.04,BF,548.5,111583
G250.04,G,627.5,625002
G250.04,EBF,540.5,199943
G250.04,EG,634.0,625002
G250.04,ES,550.5,178936
G250.04,EPNES,549.5,135392
G250.04-1,BF,519.5,250642
G250.04-1,G,602.0,625002
G250.04-1,EBF,527.0,172283
G250.04-1,EG,604.5,625002
G250.04-1,ES,519.0,167513
G250.04-1,EPNES,517.5,173247
G250.04-2,BF,544.0,135119
G250.04-2,G,621.5,625002
G250.04-2,EBF,543.0,95168
G250.04-2,EG,615.5,625002
G250.04-2,ES,542.5,238351
G250.04-2,EPNES,537.0,200734
G250.04-3,BF,559.0,298132
G250.04-3,G,632.0,625002
G250.04-3,EBF,550.0,124806
G250.04-3,EG,635.5,625002
G250.04-3,ES,560.5,170675
G250.04-3,EPNES,558.0,159133
G250.08,BF,1189.5,260507
G250.08,G,1316.0,625002
G250.08,EBF,1200.0,212969
G250.08,EG,1316.0,625002
G250.08,ES,1210.0,269305
G250.08,EPNES,1206.5,191327
G250.08-1,BF,1229.5,398833
G250.08-1,G,1348.0,625002
G250.08-1,EBF,1231.5,130650
G250.08-1,EG,1356.5,625002
G250.08-1,ES,1220.0,244743
G250.08-1,EPNES,1239.0,150982
G250.08-2,BF,1238.0,198430
G250.08-2,G,1371.0,625002
G250.08-2,EBF,1255.5,207614
G250.08-2,EG,1367.5,625002
G250.08-2,ES,1235.5,207167
G250.08-2,EPNES,1243.0,177473
G250.08-2,BF,1238.0,198430
G250.08-2,G,1371.0,625002
G250.08-2,EBF,1255.5,207614
G250.08-2,EG,1367.5,625002
G250.08-2,ES,1235.5,207167
G250.08-2,EPNES,1243.0,177473
G250.16,BF,2726.5,189051
G250.16,G,2896.5,625002
G250.16,EBF,2721.0,183910
G250.16,EG,2885.0,625002
G250.16,ES,2727.5,446928
G250.16,EPNES,2725.0,292045
G250.16-1,BF,2757.5,208514
G250.16-1,G,2916.0,625002
G250.16-1,EBF,2746.0,255081
G250.16-1,EG,2922.0,625002
G250.16-1,ES,2754.0,208650
G250.16-1,EPNES,2740.5,149505
G250.16-2,BF,2763.5,389094
G250.16-2,G,2944.0,625002
G250.16-2,EBF,2763.0,469672
G250.16-2,EG,2930.5,625002
G250.16-2,ES,2773.5,309957
G250.16-2,EPNES,2762.5,263920
G250.16-3,BF,2759.5,290904
G250.16-3,G,2918.5,625002
G250.16-3,EBF,2752.5,206366
G250.16-3,EG,2937.0,625002
G250.16-3,ES,2744.5,221672
G250.16-3,EPNES,2759.0,180690
