instances,BFS,GS,EBFS,EGS,ESS,EPNS
G250.01,83.5,108.5,86.0,108.0,85.5,85.0
G250.01-1,75.5,106.0,80.0,105.0,82.0,79.5
G250.01-2,87.5,116.5,91.0,113.0,85.5,87.5
G250.01-3,75.0,95.0,74.0,95.5,74.0,75.0
G250.02,206.0,255.5,208.0,255.5,210.0,205.0
G250.02-1,203.5,252.0,201.0,253.0,197.0,205.5
G250.02-2,205.5,251.0,203.0,249.5,202.5,206.0
G250.02-3,199.5,245.5,200.0,250.5,201.5,198.5
G250.04,548.5,627.5,540.5,634.0,550.5,549.5
G250.04-1,519.5,602.0,527.0,604.5,519.0,517.5
G250.04-2,544.0,621.5,543.0,615.5,542.5,537.0
G250.04-3,559.0,632.0,550.0,635.5,560.5,558.0
G250.08,1189.5,1316.0,1200.0,1316.0,1210.0,1206.5
G250.08-1,1229.5,1348.0,1231.5,1356.5,1220.0,1239.0
G250.08-2,1238.0,1371.0,1255.5,1367.5,1235.5,1243.0
G250.08-2,1238.0,1371.0,1255.5,1367.5,1235.5,1243.0
G250.16,2726.5,2896.5,2721.0,2885.0,2727.5,2725.0
G250.16-1,2757.5,2916.0,2746.0,2922.0,2754.0,2740.5
G250.16-2,2763.5,2944.0,2763.0,2930.5,2773.5,2762.5
G250.16-3,2759.5,2918.5,2752.5,2937.0,2744.5,2759.0
