instances,BF,G,EBF,EG,ES,EPNS
G72.75-1,893.0,893.0,891.0,894.0,893.5,891.5
G72.75-2,885.0,882.0,885.0,880.5,886.0,879.5
G72.75-3,905.0,910.5,908.0,907.5,908.0,912.0
G72.75-4,900.0,899.5,899.0,900.0,901.5,899.5
G72.75-5,872.5,871.0,871.5,873.0,873.0,880.5
G72.75-6,901.0,901.0,899.0,900.5,900.5,899.0
G72.75-7,863.0,864.0,860.0,859.5,857.5,860.5
G72.75-8,870.5,874.5,874.0,875.5,876.0,871.5
G72.75-9,930.0,931.0,934.0,929.0,928.0,928.0
G72.75-10,885.5,886.0,882.0,883.5,882.5,883.5
G72.75-11,889.0,886.0,887.0,892.5,888.5,893.0
G72.75-12,882.0,882.0,877.0,884.0,881.5,880.5
G72.75-13,882.5,886.0,884.0,882.0,884.0,882.5
G72.75-14,872.0,873.5,873.0,872.0,876.5,872.5
G72.75-15,871.5,872.5,861.5,864.5,870.5,875.5
G72.75-16,872.5,872.5,874.5,873.5,873.0,873.5
G72.75-17,869.0,868.0,867.0,865.0,869.0,867.5
G72.75-18,872.5,874.5,872.5,875.0,875.5,872.5
G72.75-19,884.5,875.0,880.5,880.5,873.5,881.0
G72.75-20,879.0,872.5,873.0,871.5,871.0,870.5
G72.75-21,897.5,901.5,896.0,900.5,899.0,901.5
G72.75-22,899.0,899.5,902.5,904.5,901.5,900.5
G72.75-23,880.0,881.5,878.0,880.0,876.5,880.5
G72.75-24,890.5,886.0,886.5,886.0,885.5,886.0
G72.75-25,897.5,896.0,897.5,892.5,893.5,897.0
G72.75-26,899.0,896.0,900.0,896.0,898.5,895.5
G72.75-27,891.0,887.0,890.5,889.5,888.5,889.0
G72.75-28,867.0,865.0,868.5,869.5,867.0,862.5
G72.75-29,887.0,889.5,886.0,888.0,884.5,884.5
G72.75-31,1369.0,1369.0,1370.5,1371.0,1369.0,1370.0
G72.75-32,1357.0,1357.0,1357.0,1356.5,1354.0,1354.0
G72.75-33,1394.5,1395.0,1395.0,1395.5,1394.5,1396.5
G72.75-34,1380.5,1379.0,1381.0,1380.0,1382.0,1380.5
G72.75-35,1330.0,1332.5,1331.5,1330.5,1330.5,1331.5
G72.75-36,1386.0,1386.0,1385.0,1390.0,1386.0,1387.5
G72.75-37,1371.0,1372.0,1375.5,1373.0,1372.0,1372.0
G72.75-38,1363.0,1366.0,1364.5,1365.0,1365.0,1365.0
G72.75-39,1350.5,1352.0,1352.0,1348.5,1354.0,1352.5
G72.75-40,1321.0,1320.0,1316.0,1319.5,1320.5,1318.0
G72.75-41,1336.5,1339.0,1338.5,1335.5,1338.0,1335.0
G72.75-42,1344.0,1339.0,1342.0,1343.0,1342.5,1341.5
G72.75-43,1390.5,1391.0,1390.5,1391.0,1390.5,1390.0
G72.75-44,1354.0,1356.5,1355.5,1357.5,1356.5,1356.0
G72.75-45,1374.0,1374.0,1368.5,1372.0,1369.5,1374.0
G72.75-46,1363.0,1363.0,1361.5,1358.5,1360.5,1362.0
G72.75-47,1383.0,1384.5,1384.5,1383.0,1380.5,1380.0
G72.75-48,1361.5,1365.0,1362.0,1362.5,1365.0,1361.5
G72.75-49,1365.5,1367.0,1368.0,1368.0,1365.5,1365.5
G72.75-50,1356.0,1359.5,1358.0,1356.0,1357.5,1357.0
