instances,BF,G,EBF,EG,ES,EPNS
G124.01,13.5,13.0,12.5,13.5,14.0,15.0
G124.02,42.0,44.5,44.0,42.0,42.5,44.0
G124.04,131.0,136.5,132.0,138.0,129.0,129.5
G124.08,300.0,317.0,298.5,317.0,305.0,303.5
G124.16,751.0,774.5,752.5,771.5,746.0,750.0
G124.32,1583.5,1612.5,1580.5,1616.5,1577.5,1581.5
G124.64,3387.0,3418.0,3380.0,3427.0,3386.5,3395.0
G124.01-1,8.0,6.5,9.0,9.5,8.5,8.5
G124.01-2,12.5,12.0,12.5,10.5,14.5,14.0
G124.01-3,10.0,10.0,11.0,10.5,9.0,10.5
G124.02-1,44.0,48.0,44.5,47.5,44.0,46.0
G124.02-2,52.5,54.5,53.0,53.5,52.5,49.5
G124.02-3,42.0,41.0,40.0,41.5,41.5,42.0
G124.04-1,109.0,116.0,110.0,113.0,111.5,110.0
G124.04-2,128.0,136.0,125.0,139.5,129.0,133.5
G124.04-3,118.0,128.5,122.0,131.0,121.5,122.5
G124.08-1,310.0,331.0,315.0,330.5,310.5,312.5
G124.08-2,307.5,321.5,305.0,322.0,306.5,307.5
G124.08-3,328.5,342.5,325.5,342.5,328.0,324.5
G124.16-1,687.0,716.5,692.5,711.0,692.5,693.0
G124.16-2,733.0,761.0,738.5,763.0,737.5,738.5
G124.16-3,718.0,740.5,724.5,739.0,719.0,722.0
G124.32-1,1581.5,1616.0,1574.5,1608.0,1572.0,1583.0
G124.32-2,1571.5,1607.0,1582.0,1605.5,1574.0,1570.5
G124.32-3,1604.0,1634.0,1605.0,1643.0,1608.0,1611.0
G124.64-1,3402.5,3429.0,3395.0,3432.5,3401.0,3399.5
G124.64-2,3444.5,3475.5,3443.0,3470.0,3439.0,3439.5
G124.64-3,3408.0,3446.0,3407.5,3446.0,3409.5,3414.0
