instance	k	algorithm	evaluations	value	time	steps
G48.5-1	2	BF	2641	236.0	0.48799681663513184	20
G48.5-1	2	BF	1331	241.0	0.23399972915649414	15
G48.5-1	2	BF	3119	237.0	0.573976993560791	18
G48.5-1	2	BF	1932	232.0	0.3679981231689453	24
G48.5-1	2	BF	2397	235.0	0.4469938278198242	17
G48.5-1	2	BF	1504	238.0	0.26600122451782227	18
G48.5-1	2	BF	2709	236.0	0.4929959774017334	21
G48.5-1	2	BF	2912	240.0	0.5380027294158936	18
G48.5-1	2	BF	1981	236.0	0.37701892852783203	20
G48.5-1	2	BF	1953	240.0	0.355971097946167	23
G48.5-1	2	G	5770	240.0	1.1770014762878418	8
G48.5-1	2	G	6924	233.0	1.450019359588623	10
G48.5-1	2	G	4616	241.0	1.1745219230651855	6
G48.5-1	2	G	6347	243.0	1.9689865112304688	9
G48.5-1	2	G	8078	235.0	1.9949734210968018	12
G48.5-1	2	G	5193	236.0	0.909024715423584	7
G48.5-1	2	G	7501	239.0	1.4193451404571533	11
G48.5-1	2	G	8078	235.0	1.4269828796386719	12
G48.5-1	2	G	7501	234.0	1.4320015907287598	11
G48.5-1	2	G	4039	245.0	1.8250000476837158	5
G48.5-1	2	EBF	3078	240.0	0.8899919986724854	27
G48.5-1	2	EBF	1439	232.0	0.4219999313354492	23
G48.5-1	2	EBF	2147	234.0	0.7650964260101318	23
G48.5-1	2	EBF	3488	235.0	0.7449240684509277	29
G48.5-1	2	EBF	2314	239.0	0.5963177680969238	14
G48.5-1	2	EBF	2977	240.0	0.6221020221710205	17
G48.5-1	2	EBF	2654	243.0	0.5459966659545898	19
G48.5-1	2	EBF	2095	234.0	0.48395299911499023	21
G48.5-1	2	EBF	2145	236.0	0.4301578998565674	28
G48.5-1	2	EBF	2006	245.0	0.43831729888916016	25
G48.5-1	2	EG	5770	236.0	1.2414345741271973	8
G48.5-1	2	EG	7501	234.0	1.6120009422302246	11
G48.5-1	2	EG	5193	237.0	0.9780199527740479	7
G48.5-1	2	EG	6347	239.0	1.2139971256256104	9
G48.5-1	2	EG	6347	234.0	1.5169963836669922	9
G48.5-1	2	EG	5770	237.0	1.575669527053833	8
G48.5-1	2	EG	6347	235.0	1.6392266750335693	9
G48.5-1	2	EG	5193	236.0	1.1328823566436768	7
G48.5-1	2	EG	6347	239.0	1.2879998683929443	9
G48.5-1	2	EG	7501	235.0	1.3450207710266113	11
G48.5-1	2	ES	1832	234.0	0.3409998416900635	20
G48.5-1	2	ES	2090	239.0	0.4259819984436035	22
G48.5-1	2	ES	2168	235.0	0.5159997940063477	27
G48.5-1	2	ES	12410	236.0	2.8480215072631836	27
G48.5-1	2	ES	4021	234.0	0.8516767024993896	24
G48.5-1	2	ES	7127	235.0	1.4119012355804443	20
G48.5-1	2	ES	1796	232.0	0.3079991340637207	22
G48.5-1	2	ES	6742	244.0	1.2030234336853027	14
G48.5-1	2	ES	1570	237.0	0.2869999408721924	16
G48.5-1	2	ES	1784	235.0	0.31502389907836914	21
G48.5-1	2	EPNES	2017	237.0	0.3739941120147705	25
G48.5-1	2	EPNES	1945	243.0	0.3809971809387207	24
G48.5-1	2	EPNES	3830	238.0	0.6949970722198486	22
G48.5-1	2	EPNES	2325	241.0	0.44099855422973633	26
G48.5-1	2	EPNES	1674	232.0	0.30099987983703613	16
G48.5-1	2	EPNES	3414	235.0	0.6349949836730957	22
G48.5-1	2	EPNES	1727	236.0	0.34200215339660645	34
G48.5-1	2	EPNES	1526	241.0	0.2839992046356201	14
G48.5-1	2	EPNES	2430	237.0	0.44402122497558594	29
G48.5-1	2	EPNES	3066	234.0	0.5690178871154785	31
G48.5-1	3	BF	3141	324.0	0.5929737091064453	35
G48.5-1	3	BF	4841	325.0	0.9110181331634521	31
G48.5-1	3	BF	3969	323.0	0.734999418258667	41
G48.5-1	3	BF	2237	324.0	0.412977933883667	29
G48.5-1	3	BF	4027	323.0	0.7399961948394775	30
G48.5-1	3	BF	3509	324.0	0.6420247554779053	27
G48.5-1	3	BF	4766	321.0	0.9709744453430176	28
G48.5-1	3	BF	3768	323.0	1.157005786895752	38
G48.5-1	3	BF	2908	321.0	1.032733678817749	33
G48.5-1	3	BF	4292	329.0	0.993882417678833	35
G48.5-1	3	G	10766	327.0	2.5529909133911133	12
G48.5-1	3	G	9228	325.0	2.2220022678375244	10
G48.5-1	3	G	13073	327.0	2.75502347946167	15
G48.5-1	3	G	8459	332.0	2.0518312454223633	9
G48.5-1	3	G	14611	318.0	3.561997890472412	17
G48.5-1	3	G	9997	323.0	1.9529976844787598	11
G48.5-1	3	G	11535	322.0	2.5819904804229736	13
G48.5-1	3	G	9997	322.0	2.3169989585876465	11
G48.5-1	3	G	9997	321.0	2.1070239543914795	11
G48.5-1	3	G	9997	320.0	1.970973253250122	11
G48.5-1	3	EBF	2877	323.0	0.5639913082122803	26
G48.5-1	3	EBF	3289	328.0	0.6580045223236084	36
G48.5-1	3	EBF	3310	318.0	0.6599953174591064	39
G48.5-1	3	EBF	3119	325.0	0.6229972839355469	33
G48.5-1	3	EBF	3944	325.0	0.7770271301269531	26
G48.5-1	3	EBF	5885	324.0	1.164257287979126	32
G48.5-1	3	EBF	5008	321.0	1.0239932537078857	33
G48.5-1	3	EBF	6205	322.0	1.26499605178833	25
G48.5-1	3	EBF	3764	324.0	0.7210259437561035	30
G48.5-1	3	EBF	3682	321.0	0.7109966278076172	41
G48.5-1	3	EG	8459	327.0	1.6630158424377441	9
G48.5-1	3	EG	8459	328.0	1.6859748363494873	9
G48.5-1	3	EG	9997	329.0	1.9639952182769775	11
G48.5-1	3	EG	12304	318.0	2.3830044269561768	14
G48.5-1	3	EG	12304	324.0	2.4039950370788574	14
G48.5-1	3	EG	12304	325.0	2.3729918003082275	14
G48.5-1	3	EG	11535	322.0	2.274995803833008	13
G48.5-1	3	EG	11535	322.0	2.1849958896636963	13
G48.5-1	3	EG	11535	325.0	2.266000509262085	13
G48.5-1	3	EG	11535	325.0	2.2239949703216553	13
G48.5-1	3	ES	4484	327.0	0.8739783763885498	29
G48.5-1	3	ES	4447	322.0	0.8760271072387695	31
G48.5-1	3	ES	2737	321.0	0.549973726272583	34
G48.5-1	3	ES	9274	321.0	1.8790175914764404	34
G48.5-1	3	ES	3616	318.0	0.7060234546661377	36
G48.5-1	3	ES	12427	324.0	2.4259700775146484	37
G48.5-1	3	ES	10591	324.0	2.075997829437256	38
G48.5-1	3	ES	4496	323.0	0.9170248508453369	40
G48.5-1	3	ES	3942	321.0	0.8209919929504395	33
G48.5-1	3	ES	4397	324.0	0.8660171031951904	29
G48.5-1	3	EPNES	4887	319.0	1.0149738788604736	36
G48.5-1	3	EPNES	4228	331.0	0.8839960098266602	30
G48.5-1	3	EPNES	3599	325.0	0.7420012950897217	42
G48.5-1	3	EPNES	4260	320.0	0.872023344039917	36
G48.5-1	3	EPNES	4567	325.0	0.9509708881378174	27
G48.5-1	3	EPNES	2817	325.0	0.5870101451873779	33
G48.5-1	3	EPNES	7068	318.0	1.4449963569641113	38
G48.5-1	3	EPNES	3338	321.0	0.6820282936096191	30
G48.5-1	3	EPNES	4778	322.0	0.9499919414520264	37
G48.5-1	3	EPNES	3957	327.0	0.8059835433959961	22
G48.5-1	4	BF	3549	376.0	0.6919918060302734	29
G48.5-1	4	BF	6144	373.0	1.2139976024627686	28
G48.5-1	4	BF	4396	374.0	0.8780155181884766	31
G48.5-1	4	BF	5146	378.0	1.0399768352508545	29
G48.5-1	4	BF	5762	370.0	1.1240260601043701	30
G48.5-1	4	BF	6764	370.0	1.4489705562591553	43
G48.5-1	4	BF	3893	365.0	1.2180063724517822	39
G48.5-1	4	BF	4602	371.0	1.6609976291656494	50
G48.5-1	4	BF	3803	369.0	1.0289955139160156	43
G48.5-1	4	BF	5054	377.0	1.4049961566925049	40
G48.5-1	4	G	19895	367.0	4.354017019271851	21
G48.5-1	4	G	12975	368.0	2.5110251903533936	13
G48.5-1	4	G	16435	370.0	3.9469704627990723	17
G48.5-1	4	G	13840	368.0	3.0019967555999756	14
G48.5-1	4	G	12975	371.0	2.595021963119507	13
G48.5-1	4	G	12975	371.0	2.780970811843872	13
G48.5-1	4	G	13840	368.0	2.6299962997436523	14
G48.5-1	4	G	17300	368.0	3.5729963779449463	18
G48.5-1	4	G	15570	368.0	2.92600154876709	16
G48.5-1	4	G	14705	375.0	3.0980207920074463	15
G48.5-1	4	EBF	8529	368.0	1.6339986324310303	43
G48.5-1	4	EBF	3416	371.0	0.6909747123718262	33
G48.5-1	4	EBF	7261	370.0	1.5479955673217773	44
G48.5-1	4	EBF	6575	371.0	1.6679894924163818	43
G48.5-1	4	EBF	3795	370.0	0.7390062808990479	36
G48.5-1	4	EBF	6287	369.0	1.1859955787658691	32
G48.5-1	4	EBF	8074	365.0	1.6729974746704102	43
G48.5-1	4	EBF	3852	374.0	1.2009923458099365	36
G48.5-1	4	EBF	5565	367.0	1.1559972763061523	47
G48.5-1	4	EBF	5846	374.0	1.1199955940246582	32
G48.5-1	4	EG	15570	369.0	3.3430042266845703	16
G48.5-1	4	EG	12975	368.0	2.4880168437957764	13
G48.5-1	4	EG	9515	377.0	1.7879750728607178	9
G48.5-1	4	EG	12110	371.0	2.6399967670440674	12
G48.5-1	4	EG	16435	368.0	3.09899640083313	17
G48.5-1	4	EG	13840	371.0	2.9750254154205322	14
G48.5-1	4	EG	13840	377.0	2.669964551925659	14
G48.5-1	4	EG	12110	378.0	2.6860203742980957	12
G48.5-1	4	EG	12110	376.0	2.446275234222412	12
G48.5-1	4	EG	9515	377.0	2.3468706607818604	9
G48.5-1	4	ES	6224	371.0	1.2089743614196777	37
G48.5-1	4	ES	13196	375.0	2.7549850940704346	32
G48.5-1	4	ES	19869	375.0	4.247995138168335	40
G48.5-1	4	ES	7458	365.0	1.9179916381835938	41
G48.5-1	4	ES	3771	373.0	0.8940286636352539	40
G48.5-1	4	ES	14807	369.0	3.145019292831421	39
G48.5-1	4	ES	17001	384.0	3.9780001640319824	26
G48.5-1	4	ES	7065	366.0	1.3610198497772217	39
G48.5-1	4	ES	12813	372.0	2.76202130317688	33
G48.5-1	4	ES	10231	370.0	1.9619951248168945	38
G48.5-1	4	EPNES	4859	370.0	0.9839928150177002	46
G48.5-1	4	EPNES	3398	373.0	0.7170193195343018	32
G48.5-1	4	EPNES	6844	376.0	1.654975414276123	33
G48.5-1	4	EPNES	4408	375.0	0.8919918537139893	37
G48.5-1	4	EPNES	5675	370.0	1.1119999885559082	37
G48.5-1	4	EPNES	5890	374.0	1.173821210861206	36
G48.5-1	4	EPNES	6523	371.0	1.2840244770050049	36
G48.5-1	4	EPNES	3894	376.0	1.1009984016418457	29
G48.5-1	4	EPNES	10332	367.0	2.0589730739593506	45
G48.5-1	4	EPNES	4292	365.0	1.0389935970306396	40
G48.5-2	2	BF	2729	233.0	0.49599552154541016	33
G48.5-2	2	BF	2937	234.0	0.5319979190826416	25
G48.5-2	2	BF	1779	236.0	0.3419969081878662	25
G48.5-2	2	BF	2789	233.0	0.8100049495697021	25
G48.5-2	2	BF	2487	234.0	0.48797059059143066	28
G48.5-2	2	BF	4061	232.0	0.8530263900756836	27
G48.5-2	2	BF	3620	233.0	0.6659705638885498	25
G48.5-2	2	BF	2099	232.0	0.3939976692199707	32
G48.5-2	2	BF	1811	237.0	0.32199954986572266	18
G48.5-2	2	BF	3144	234.0	0.5690197944641113	28
G48.5-2	2	G	5193	239.0	0.9449930191040039	7
G48.5-2	2	G	5193	234.0	0.9500277042388916	7
G48.5-2	2	G	4616	236.0	0.8079719543457031	6
G48.5-2	2	G	6347	233.0	1.218998670578003	9
G48.5-2	2	G	5770	234.0	1.2789945602416992	8
G48.5-2	2	G	6347	234.0	1.116999864578247	9
G48.5-2	2	G	6924	233.0	1.2169957160949707	10
G48.5-2	2	G	7501	230.0	1.3169982433319092	11
G48.5-2	2	G	5193	234.0	1.2619984149932861	7
G48.5-2	2	G	5193	236.0	1.0070202350616455	7
G48.5-2	2	EBF	2032	235.0	0.37697815895080566	27
G48.5-2	2	EBF	1548	233.0	0.2739884853363037	26
G48.5-2	2	EBF	1705	236.0	0.3379964828491211	25
G48.5-2	2	EBF	2295	238.0	0.42299747467041016	22
G48.5-2	2	EBF	4545	230.0	0.8090252876281738	26
G48.5-2	2	EBF	3464	233.0	0.6299717426300049	31
G48.5-2	2	EBF	2004	232.0	0.3679988384246826	28
G48.5-2	2	EBF	1715	230.0	0.3350210189819336	29
G48.5-2	2	EBF	1438	233.0	0.2559952735900879	21
G48.5-2	2	EBF	1920	240.0	0.6529994010925293	14
G48.5-2	2	EG	6347	233.0	1.169999361038208	9
G48.5-2	2	EG	5193	233.0	0.9379961490631104	7
G48.5-2	2	EG	5770	234.0	1.004997730255127	8
G48.5-2	2	EG	6347	232.0	1.1329960823059082	9
G48.5-2	2	EG	6924	235.0	1.5840246677398682	10
G48.5-2	2	EG	6924	236.0	1.2629730701446533	10
G48.5-2	2	EG	6924	231.0	1.2410273551940918	10
G48.5-2	2	EG	6924	233.0	1.1989991664886475	10
G48.5-2	2	EG	6347	236.0	1.2479941844940186	9
G48.5-2	2	EG	6347	233.0	1.3199973106384277	9
G48.5-2	2	ES	2191	238.0	0.3920018672943115	20
G48.5-2	2	ES	16206	237.0	2.936018466949463	19
G48.5-2	2	ES	6412	231.0	1.4819996356964111	26
G48.5-2	2	ES	11306	242.0	2.0589990615844727	20
G48.5-2	2	ES	7645	235.0	1.3739891052246094	24
G48.5-2	2	ES	2573	230.0	0.46101951599121094	23
G48.5-2	2	ES	13631	231.0	2.8199753761291504	31
G48.5-2	2	ES	3582	237.0	0.6630203723907471	27
G48.5-2	2	ES	6435	239.0	1.1999750137329102	16
G48.5-2	2	ES	2610	234.0	0.46298861503601074	21
G48.5-2	2	EPNES	2064	232.0	0.38799619674682617	30
G48.5-2	2	EPNES	3350	232.0	0.6170251369476318	23
G48.5-2	2	EPNES	2999	233.0	0.8569717407226562	28
G48.5-2	2	EPNES	1848	230.0	0.3720264434814453	26
G48.5-2	2	EPNES	2226	238.0	0.44097113609313965	30
G48.5-2	2	EPNES	3096	230.0	0.5889973640441895	29
G48.5-2	2	EPNES	1955	235.0	0.3790011405944824	16
G48.5-2	2	EPNES	2617	239.0	0.4880244731903076	22
G48.5-2	2	EPNES	2717	233.0	0.5279743671417236	30
G48.5-2	2	EPNES	1910	243.0	0.3719949722290039	16
G48.5-2	3	BF	3750	328.0	0.687018632888794	22
G48.5-2	3	BF	6124	319.0	1.1929762363433838	47
G48.5-2	3	BF	4601	323.0	1.1449904441833496	29
G48.5-2	3	BF	4976	324.0	0.9465386867523193	43
G48.5-2	3	BF	6380	320.0	1.296996831893921	34
G48.5-2	3	BF	3617	320.0	0.7365682125091553	36
G48.5-2	3	BF	5264	315.0	1.0299453735351562	26
G48.5-2	3	BF	3160	318.0	0.8331184387207031	43
G48.5-2	3	BF	3525	323.0	0.8253071308135986	29
G48.5-2	3	BF	3270	322.0	0.5999987125396729	31
G48.5-2	3	G	13842	320.0	2.5809998512268066	16
G48.5-2	3	G	9997	321.0	2.156998872756958	11
G48.5-2	3	G	12304	322.0	2.2870185375213623	14
G48.5-2	3	G	10766	317.0	2.0362141132354736	12
G48.5-2	3	G	9997	319.0	2.406177520751953	11
G48.5-2	3	G	12304	317.0	2.7319953441619873	14
G48.5-2	3	G	11535	320.0	3.0639970302581787	13
G48.5-2	3	G	9997	323.0	1.9450454711914062	11
G48.5-2	3	G	9997	324.0	2.458997964859009	11
G48.5-2	3	G	13073	314.0	2.6760003566741943	15
G48.5-2	3	EBF	4407	315.0	0.8309946060180664	38
G48.5-2	3	EBF	4360	322.0	0.8468365669250488	32
G48.5-2	3	EBF	4053	319.0	0.8727142810821533	37
G48.5-2	3	EBF	3011	322.0	0.8670017719268799	32
G48.5-2	3	EBF	3060	319.0	0.7379701137542725	24
G48.5-2	3	EBF	4320	318.0	1.076997995376587	30
G48.5-2	3	EBF	6499	322.0	1.65704345703125	31
G48.5-2	3	EBF	3630	317.0	1.1900010108947754	35
G48.5-2	3	EBF	4038	323.0	1.4009966850280762	33
G48.5-2	3	EBF	3492	320.0	1.0460000038146973	32
G48.5-2	3	EG	13842	315.0	2.9116756916046143	16
G48.5-2	3	EG	12304	316.0	2.7332754135131836	14
G48.5-2	3	EG	9228	325.0	1.7899961471557617	10
G48.5-2	3	EG	12304	321.0	3.002394437789917	14
G48.5-2	3	EG	9997	319.0	2.218430757522583	11
G48.5-2	3	EG	8459	328.0	2.393153429031372	9
G48.5-2	3	EG	11535	324.0	2.9165890216827393	13
G48.5-2	3	EG	11535	319.0	3.448031425476074	13
G48.5-2	3	EG	11535	320.0	2.791041374206543	13
G48.5-2	3	EG	13073	318.0	3.5739810466766357	15
G48.5-2	3	ES	5227	315.0	1.328108787536621	39
G48.5-2	3	ES	28809	378.0	7.003698348999023	6
G48.5-2	3	ES	10334	322.0	2.683573007583618	35
G48.5-2	3	ES	5004	316.0	1.2039508819580078	35
G48.5-2	3	ES	4631	319.0	1.0315518379211426	30
G48.5-2	3	ES	14021	318.0	3.501361608505249	36
G48.5-2	3	ES	4882	318.0	0.9833498001098633	28
G48.5-2	3	ES	11719	318.0	2.370997190475464	39
G48.5-2	3	ES	4086	327.0	0.8050026893615723	30
G48.5-2	3	ES	5321	318.0	1.3819952011108398	40
G48.5-2	3	EPNES	3000	319.0	0.6160216331481934	28
G48.5-2	3	EPNES	3425	320.0	0.6949992179870605	39
G48.5-2	3	EPNES	6955	314.0	1.3259968757629395	36
G48.5-2	3	EPNES	3229	320.0	0.6459853649139404	33
G48.5-2	3	EPNES	3029	322.0	0.6180214881896973	37
G48.5-2	3	EPNES	3880	323.0	1.0219972133636475	51
G48.5-2	3	EPNES	5056	317.0	1.190992832183838	30
G48.5-2	3	EPNES	2274	319.0	0.48599934577941895	36
G48.5-2	3	EPNES	6580	316.0	1.2599985599517822	47
G48.5-2	3	EPNES	3842	319.0	0.77001953125	37
G48.5-2	4	BF	8193	362.0	1.5699992179870605	45
G48.5-2	4	BF	7399	364.0	1.6880035400390625	42
G48.5-2	4	BF	6212	368.0	1.1459739208221436	40
G48.5-2	4	BF	4372	370.0	0.8559989929199219	40
G48.5-2	4	BF	8614	363.0	1.5820248126983643	43
G48.5-2	4	BF	6449	362.0	1.5559964179992676	43
G48.5-2	4	BF	7586	366.0	1.5519938468933105	34
G48.5-2	4	BF	4759	363.0	0.8809976577758789	40
G48.5-2	4	BF	5227	369.0	0.9770193099975586	38
G48.5-2	4	BF	5211	369.0	1.0739779472351074	27
